取得時刻,職業,定員,開始,終了,体験時間,残席
2026/07/03 16:00:00,②[引越=ひっこし]マスター,5,15:30,16:14,45,5
2026/07/03 16:00:00,③カードクター,4,18:30,18:59,30,4
2026/07/03 16:00:00,③カードクター,4,19:00,19:29,30,4
2026/07/03 16:00:00,③カードクター,4,19:30,19:59,30,4
2026/07/03 16:00:00,④キャビンアテンダント,3,15:30,15:59,30,0
2026/07/03 16:00:00,④キャビンアテンダント,3,16:00,16:29,30,0
2026/07/03 16:00:00,④キャビンアテンダント,3,16:30,16:59,30,2
2026/07/03 16:00:00,④キャビンアテンダント,3,17:00,17:29,30,0
2026/07/03 16:00:00,④パイロット,6,15:30,15:59,30,4
2026/07/03 16:00:00,④パイロット,6,16:00,16:29,30,6
2026/07/03 16:00:00,④パイロット,6,16:30,16:59,30,6
2026/07/03 16:00:00,④パイロット,6,17:00,17:29,30,3
2026/07/03 16:00:00,⑤スペースセンタークルー,6,15:30,15:59,30,6
2026/07/03 16:00:00,⑤スペースセンタークルー,6,16:00,16:29,30,6
2026/07/03 16:00:00,⑤スペースセンタークルー,6,16:30,16:59,30,6
2026/07/03 16:00:00,⑤スペースセンタークルー,6,17:00,17:29,30,6
2026/07/03 16:00:00,⑤スペースセンタークルー,6,17:30,17:59,30,6
2026/07/03 16:00:00,⑤スペースセンタークルー,6,18:00,18:29,30,6
2026/07/03 16:00:00,⑤スペースセンタークルー,6,18:30,18:59,30,6
2026/07/03 16:00:00,⑤スペースセンタークルー,6,19:00,19:29,30,6
2026/07/03 16:00:00,⑤スペースセンタークルー,6,19:30,19:59,30,6
2026/07/03 16:00:00,⑥ロードサービス[隊員=たいいん],4,15:30,15:59,30,4
2026/07/03 16:00:00,⑥ロードサービス[隊員=たいいん],4,16:00,16:29,30,1
2026/07/03 16:00:00,⑥ロードサービス[隊員=たいいん],4,16:30,16:59,30,4
2026/07/03 16:00:00,⑧[建設=けんせつ]エンジニア,4,15:30,15:59,30,3
2026/07/03 16:00:00,⑨[警察官=けいさつかん],6,18:00,18:29,30,5
2026/07/03 16:00:00,⑨[警察官=けいさつかん],6,18:30,18:59,30,5
2026/07/03 16:00:00,⑨[警察官=けいさつかん],6,19:00,19:29,30,6
2026/07/03 16:00:00,⑨[警察官=けいさつかん],6,19:30,19:59,30,6
2026/07/03 16:00:00,⑩[自衛隊員=じえいたいいん],5,17:30,17:59,30,5
2026/07/03 16:00:00,⑩[自衛隊員=じえいたいいん],5,18:00,18:29,30,5
2026/07/03 16:00:00,⑩[自衛隊員=じえいたいいん],5,18:30,18:59,30,5
2026/07/03 16:00:00,⑪ドライバー/メカニック,4,16:30,16:59,30,4
2026/07/03 16:00:00,⑪ドライバー/メカニック,4,17:00,17:29,30,4
2026/07/03 16:00:00,⑪ドライバー/メカニック,4,17:30,17:59,30,4
2026/07/03 16:00:00,⑫ラジオパーソナリティ,6,15:30,15:59,30,6
2026/07/03 16:00:00,⑫ラジオパーソナリティ,6,16:00,16:29,30,6
2026/07/03 16:00:00,⑫ラジオパーソナリティ,6,16:30,16:59,30,6
2026/07/03 16:00:00,⑭ダンサー,4,18:00,18:24,25,4
2026/07/03 16:00:00,⑭ダンサー,4,18:25,18:49,25,4
2026/07/03 16:00:00,⑭ダンサー,4,19:00,19:24,25,4
2026/07/03 16:00:00,⑭ダンサー,4,19:35,19:59,25,4
2026/07/03 16:00:00,⑮[弁護士=べんごし],6,17:00,17:44,45,6
2026/07/03 16:00:00,⑯お医者さん,4,15:30,15:59,30,3
2026/07/03 16:00:00,⑯お医者さん,4,16:00,16:29,30,3
2026/07/03 16:00:00,⑰[助産師=じょさんし],4,16:35,16:59,25,2
2026/07/03 16:00:00,⑰[助産師=じょさんし],4,17:05,17:29,25,4
2026/07/03 16:00:00,⑰[助産師=じょさんし],4,17:35,17:59,25,4
2026/07/03 16:00:00,⑱セキュリティスタッフ,5,18:00,18:29,30,5
2026/07/03 16:00:00,⑱セキュリティスタッフ,5,19:00,19:29,30,5
2026/07/03 16:00:00,⑱セキュリティスタッフ 救命,5,18:30,18:59,30,5
2026/07/03 16:00:00,⑱セキュリティスタッフ 救命,5,19:30,19:59,30,5
2026/07/03 16:00:00,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,15:30,15:49,20,2
2026/07/03 16:00:00,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,15:50,16:09,20,2
2026/07/03 16:00:00,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,16:10,16:29,20,2
2026/07/03 16:00:00,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,16:30,16:49,20,2
2026/07/03 16:00:00,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,16:50,17:09,20,2
2026/07/03 16:00:00,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,17:10,17:29,20,2
2026/07/03 16:00:00,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,17:30,17:49,20,2
2026/07/03 16:00:00,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,17:50,18:09,20,2
2026/07/03 16:00:00,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,18:10,18:29,20,2
2026/07/03 16:00:00,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,18:30,18:49,20,2
2026/07/03 16:00:00,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,18:50,19:09,20,2
2026/07/03 16:00:00,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,19:10,19:29,20,2
2026/07/03 16:00:00,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,19:30,19:49,20,2
2026/07/03 16:00:00,⑳シニアケア[相談員=そうだんいん],4,15:30,15:59,30,4
2026/07/03 16:00:00,⑳シニアケア[相談員=そうだんいん],4,16:00,16:29,30,4
2026/07/03 16:00:00,⑳シニアケア[相談員=そうだんいん],4,16:30,16:59,30,4
2026/07/03 16:00:00,㉑[科学者=かがくしゃ],6,15:30,15:59,30,6
2026/07/03 16:00:00,㉑[科学者=かがくしゃ],6,16:00,16:29,30,6
2026/07/03 16:00:00,㉑[科学者=かがくしゃ],6,16:30,16:59,30,6
2026/07/03 16:00:00,㉑[科学者=かがくしゃ],6,17:00,17:29,30,6
2026/07/03 16:00:00,㉒ボートレーサー,2,15:30,15:59,30,2
2026/07/03 16:00:00,㉒ボートレーサー,2,16:00,16:29,30,2
2026/07/03 16:00:00,㉒ボートレーサー,2,16:30,16:59,30,2
2026/07/03 16:00:00,㉒ボートレーサー,2,17:00,17:29,30,2
2026/07/03 16:00:00,㉒ボートレーサー,2,17:30,17:59,30,2
2026/07/03 16:00:00,㉒ボートレーサー,2,18:00,18:29,30,2
2026/07/03 16:00:00,㉒ボートレーサー,2,18:30,18:59,30,2
2026/07/03 16:00:00,㉒ボートレーサー,2,19:00,19:29,30,2
2026/07/03 16:00:00,㉒ボートレーサー,2,19:30,19:59,30,2
2026/07/03 16:00:00,㉓eスポーツ[体験=たいけん],4,17:30,17:59,30,2
2026/07/03 16:00:00,㉓eスポーツ[体験=たいけん],4,18:00,18:29,30,4
2026/07/03 16:00:00,㉓eスポーツ[体験=たいけん],4,18:30,18:59,30,4
2026/07/03 16:00:00,㉓eスポーツ[体験=たいけん],4,19:00,19:29,30,4
2026/07/03 16:00:00,㉓eスポーツ[体験=たいけん],4,19:30,19:59,30,4
2026/07/03 16:00:00,㉔モノレール[運転士=うんてんし],5,17:05,17:29,25,5
2026/07/03 16:00:00,㉔モノレール[運転士=うんてんし],5,17:35,17:59,25,5
2026/07/03 16:00:00,㉔モノレール[運転士=うんてんし],5,18:05,18:29,25,5
2026/07/03 16:00:00,㉔モノレール[運転士=うんてんし],5,19:05,19:29,25,5
2026/07/03 16:00:00,㉕おかしクリエイター,6,18:00,18:29,30,5
2026/07/03 16:00:00,㉕おかしクリエイター,6,18:30,18:59,30,6
2026/07/03 16:00:00,㉕おかしクリエイター,6,19:00,19:29,30,6
2026/07/03 16:00:00,㉕おかしクリエイター,6,19:30,19:59,30,6
2026/07/03 16:00:00,㉖[消防士=しょうぼうし],4,15:30,15:59,30,4
2026/07/03 16:00:00,㉖[消防士=しょうぼうし],4,16:00,16:29,30,4
2026/07/03 16:00:00,㉖[消防士=しょうぼうし],4,16:30,16:59,30,4
2026/07/03 16:00:00,㉖[消防士=しょうぼうし],4,17:00,17:29,30,4
2026/07/03 16:00:00,㉖[消防士=しょうぼうし],4,17:30,17:59,30,4
2026/07/03 16:00:00,㉖[消防士=しょうぼうし],4,18:00,18:29,30,4
2026/07/03 16:00:00,㉖[消防士=しょうぼうし],4,18:30,18:59,30,4
2026/07/03 16:00:00,㉖[消防士=しょうぼうし],4,19:00,19:29,30,4
2026/07/03 16:00:00,㉖[消防士=しょうぼうし],4,19:30,19:59,30,4
2026/07/03 16:00:00,㉘ピックアップクルー,6,16:30,16:59,30,6
2026/07/03 16:00:00,㉘ピックアップクルー,6,17:00,17:29,30,6
2026/07/03 16:00:00,㉙[銀=ぎん]だこ[職人=しょくにん],4,17:30,17:59,30,1
2026/07/03 16:00:00,㉙[銀=ぎん]だこ[職人=しょくにん],4,18:10,18:39,30,1
2026/07/03 16:00:00,㉙[銀=ぎん]だこ[職人=しょくにん],4,18:50,19:19,30,4
2026/07/03 16:00:00,㉙[銀=ぎん]だこ[職人=しょくにん],4,19:30,19:59,30,4
2026/07/03 16:00:00,㉚アイスクリームメーカー,6,15:30,15:59,30,0
2026/07/03 16:00:00,㉚アイスクリームメーカー,6,16:00,16:29,30,0
2026/07/03 16:00:00,㉚アイスクリームメーカー,6,16:30,16:59,30,0
2026/07/03 16:00:00,㉚アイスクリームメーカー,6,17:00,17:29,30,0
2026/07/03 16:00:00,㉚アイスクリームメーカー,6,17:30,17:59,30,0
2026/07/03 16:00:00,㉚アイスクリームメーカー,6,18:00,18:29,30,0
2026/07/03 16:00:00,㉚アイスクリームメーカー,6,18:30,18:59,30,6
2026/07/03 16:00:00,㉚アイスクリームメーカー,6,19:00,19:29,30,6
2026/07/03 16:00:00,㉛[植物工場=しょくぶつこうじょう]スタッフ,4,16:00,16:29,30,4
2026/07/03 16:00:00,㉜カフェ[店長=てんちょう],4,18:00,18:29,30,4
2026/07/03 16:00:00,㉜カフェ[店長=てんちょう],4,18:30,18:59,30,4
2026/07/03 16:00:00,㉜カフェ[店長=てんちょう],4,19:00,19:29,30,4
2026/07/03 16:00:00,㉜カフェ[店長=てんちょう],4,19:30,19:59,30,4
2026/07/03 16:00:00,㉟[投資家=とうしか],4,18:00,18:29,30,4
2026/07/03 16:00:00,㉟[投資家=とうしか],4,19:00,19:29,30,4
2026/07/03 16:00:00,㉟[銀行員=ぎんこういん] ,2,18:30,18:44,15,2
2026/07/03 16:00:00,㊲イマーシブファイアファイタ,6,15:30,15:59,30,6
2026/07/03 16:00:00,㊲イマーシブファイアファイタ,6,16:00,16:29,30,6
2026/07/03 16:00:00,㊲イマーシブファイアファイタ,6,16:30,16:59,30,3
2026/07/03 16:00:00,㊳ユーチューバー,2,16:30,16:59,30,1
2026/07/03 16:00:00,㊳ユーチューバー,2,17:00,17:29,30,0
2026/07/03 16:00:00,㊳ユーチューバー,2,17:30,17:59,30,2
2026/07/03 16:00:00,㊴ビスコ[研究員=けんきゅういん],8,17:00,17:44,45,6
2026/07/03 16:00:00,㊴ビスコ[研究員=けんきゅういん],8,17:45,18:29,45,8
2026/07/03 16:00:00,㊵ヘアスタイリスト,6,15:30,15:59,30,4
2026/07/03 16:00:00,㊵ヘアスタイリスト,6,16:00,16:29,30,4
2026/07/03 16:00:00,㊶モデル,6,16:25,17:19,55,1
2026/07/03 16:00:00,㊶モデル,6,17:20,18:14,55,4
2026/07/03 16:00:00,㊶モデル,6,18:15,19:09,55,6
2026/07/03 16:00:00,㊶モデル,6,19:10,19:59,50,6
